   4329.3838130000004     

Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 29.50    968.24   968.24   210001     0.00     0.00  neighbour_list_mpcd_
 28.88   1915.94   947.69    21000     0.00     0.00  rotation_mpcd_
 26.69   2791.96   876.03   210000     0.00     0.00  fluid_colloid_collision_
 10.23   3127.74   335.78   210000     0.00     0.00  update_pos_mpcd_
  1.72   3184.24    56.50    21000     0.00     0.00  run_
  1.64   3237.97    53.73        1     0.05     3.28  MAIN__
  1.05   3272.43    34.46    11000     0.00     0.00  updown_velocity_
  0.28   3281.67     9.24 1145885931     0.00     0.00  ran1_
  0.01   3282.16     0.49   210001     0.00     0.00  neighbour_list_md_
  0.01   3282.62     0.46   210001     0.00     0.00  compute_force_md_
  0.01   3282.99     0.37   210000     0.00     0.00  update_velocity_colloid_
  0.01   3283.17     0.18  3079254     0.00     0.00  stochastic_reflection_
  0.00   3283.28     0.11        1     0.00     0.00  initialize_fluid_
  0.00   3283.36     0.08  3079254     0.00     0.00  gauss_
  0.00   3283.44     0.08   210000     0.00     0.00  update_activity_direction_
  0.00   3283.50     0.06        1     0.00     0.00  create_box_
  0.00   3283.51     0.01        1     0.00     0.00  tumble_
  0.00   3283.51     0.01                             main
  0.00   3283.51     0.00   210000     0.00     0.00  update_pos_md_
  0.00   3283.51     0.00        1     0.00     0.00  initialize_colloid_
