   4104.3228099999997     

Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 35.27   1083.99  1083.99   210001     0.00     0.00  neighbour_list_mpcd_
 34.37   2140.20  1056.21    21000     0.00     0.00  rotation_mpcd_
 16.00   2631.77   491.58   210000     0.00     0.00  fluid_colloid_collision_
 11.62   2989.01   357.24   210000     0.00     0.00  update_pos_mpcd_
  1.67   3040.38    51.37        1     0.05     3.07  MAIN__
  0.49   3055.38    15.00    21000     0.00     0.00  run_
  0.31   3065.05     9.68 1137525112     0.00     0.00  ran1_
  0.29   3074.01     8.95    11000     0.00     0.00  updown_velocity_
  0.01   3074.23     0.23   210000     0.00     0.00  update_velocity_colloid_
  0.00   3074.32     0.09   677198     0.00     0.00  stochastic_reflection_
  0.00   3074.41     0.09   210001     0.00     0.00  compute_force_md_
  0.00   3074.50     0.09   210001     0.00     0.00  neighbour_list_md_
  0.00   3074.57     0.07        1     0.00     0.00  create_box_
  0.00   3074.62     0.05        1     0.00     0.00  initialize_fluid_
  0.00   3074.66     0.04   677198     0.00     0.00  gauss_
  0.00   3074.69     0.03   210000     0.00     0.00  update_activity_direction_
  0.00   3074.70     0.01   210000     0.00     0.00  update_pos_md_
  0.00   3074.70     0.00        1     0.00     0.00  initialize_colloid_
  0.00   3074.70     0.00        1     0.00     0.00  tumble_

 
