  6552.7284289999998     

Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 40.77   1890.45  1890.45    21000     0.00     0.00  rotation_mpcd_
 22.50   2934.01  1043.56   210001     0.00     0.00  neighbour_list_mpcd_
 19.36   3831.67   897.66   210000     0.00     0.00  fluid_colloid_collision_
 14.14   4487.58   655.91   210000     0.00     0.00  update_pos_mpcd_
  2.16   4587.90   100.32        1     0.10     4.64  MAIN__
  0.58   4614.86    26.95    21000     0.00     0.00  run_
  0.32   4629.86    15.01    11000     0.00     0.00  updown_velocity_
  0.20   4638.97     9.10 1146176646     0.00     0.00  ran1_
  0.01   4639.20     0.24   210000     0.00     0.00  update_velocity_colloid_
  0.00   4639.29     0.09   210001     0.00     0.00  neighbour_list_md_
  0.00   4639.37     0.08  1567795     0.00     0.00  stochastic_reflection_
  0.00   4639.45     0.08   210001     0.00     0.00  compute_force_md_
  0.00   4639.52     0.07        1     0.00     0.00  create_box_
  0.00   4639.56     0.04  1567795     0.00     0.00  gauss_
  0.00   4639.58     0.02   210000     0.00     0.00  update_activity_direction_
  0.00   4639.60     0.02        1     0.00     0.00  initialize_fluid_
  0.00   4639.61     0.01        1     0.00     0.00  tumble_
  0.00   4639.61     0.00   210000     0.00     0.00  update_pos_md_
  0.00   4639.61     0.00        1     0.00     0.00  initialize_colloid_

 
