   5149.1668639999998     
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 40.66   1358.15  1358.15    21000     0.00     0.00  rotation_mpcd_
 24.38   2172.56   814.41   210001     0.00     0.00  neighbour_list_mpcd_
 19.05   2808.71   636.15   210000     0.00     0.00  fluid_colloid_collision_
 12.63   3230.61   421.90   210000     0.00     0.00  update_pos_mpcd_
  1.74   3288.57    57.96        1     0.06     3.34  MAIN__
  0.74   3313.13    24.55    21000     0.00     0.00  run_
  0.45   3328.05    14.93    11000     0.00     0.00  updown_velocity_
  0.39   3341.02    12.97 1138660027     0.00     0.00  ran1_
  0.01   3341.25     0.23   210000     0.00     0.00  update_velocity_colloid_
  0.00   3341.38     0.13   210001     0.00     0.00  neighbour_list_md_
  0.00   3341.50     0.12  1014173     0.00     0.00  stochastic_reflection_
  0.00   3341.58     0.08   210001     0.00     0.00  compute_force_md_
  0.00   3341.65     0.07        1     0.00     0.00  create_box_
  0.00   3341.72     0.07   210000     0.00     0.00  update_activity_direction_
  0.00   3341.77     0.05        1     0.00     0.00  initialize_fluid_
  0.00   3341.80     0.04  1014173     0.00     0.00  gauss_
  0.00   3341.82     0.02   210000     0.00     0.00  update_pos_md_
  0.00   3341.84     0.02        1     0.00     0.00  tumble_
  0.00   3341.84     0.00        1     0.00     0.00  initialize_colloid_

