   6808.1595049999996     

Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 41.76   2027.78  2027.78    21000     0.00     0.00  rotation_mpcd_
 24.08   3197.13  1169.35   210001     0.00     0.00  neighbour_list_mpcd_
 16.57   4001.47   804.35   210000     0.00     0.00  fluid_colloid_collision_
 14.73   4716.87   715.39   210000     0.00     0.00  update_pos_mpcd_
  2.13   4820.17   103.30        1     0.10     4.86  MAIN__
  0.33   4836.12    15.95    21000     0.00     0.00  run_
  0.23   4847.26    11.14    11000     0.00     0.00  updown_velocity_
  0.21   4857.58    10.32 1141735622     0.00     0.00  ran1_
  0.01   4857.86     0.28   210000     0.00     0.00  update_velocity_colloid_
  0.00   4857.93     0.07   210001     0.00     0.00  compute_force_md_
  0.00   4857.99     0.06   783290     0.00     0.00  gauss_
  0.00   4858.03     0.05   210001     0.00     0.00  neighbour_list_md_
  0.00   4858.07     0.04   783290     0.00     0.00  stochastic_reflection_
  0.00   4858.11     0.04        1     0.00     0.00  create_box_
  0.00   4858.15     0.04        1     0.00     0.00  initialize_fluid_
  0.00   4858.16     0.01   210000     0.00     0.00  update_activity_direction_
  0.00   4858.17     0.01   210000     0.00     0.00  update_pos_md_
  0.00   4858.17     0.00        1     0.00     0.00  initialize_colloid_
  0.00   4858.17     0.00        1     0.00     0.00  tumble_

