1576.900046
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 28.77    379.75   379.75   210001     1.81     1.81  neighbour_list_mpcd()
 24.58    704.21   324.46    21000    15.45    15.45  rotation_mpcd()
 23.99   1020.82   316.61   210000     1.51     1.51  update_pos_mpcd()
 20.32   1289.06   268.24   210000     1.28     1.28  fluid_colloid_collision()
  1.86   1313.64    24.58    21000     1.17     1.17  run()
  0.35   1318.25     4.61    11000     0.42     0.42  updown_velocity()
  0.08   1319.36     1.11                             main
  0.02   1319.57     0.21   210001     0.00     0.00  compute_force_md()
  0.01   1319.75     0.18        1   180.04   180.04  create_box()
  0.01   1319.89     0.14   210001     0.00     0.00  neighbour_list_md()
  0.01   1319.99     0.10        1   100.02   100.02  initialize_fluid()
  0.00   1320.04     0.05   210000     0.00     0.00  update_activity_direction()
  0.00   1320.07     0.03   210000     0.00     0.00  update_pos_md()
  0.00   1320.09     0.02   210000     0.00     0.00  update_velocity_colloid()
  0.00   1320.10     0.02        1    15.00    15.00  tumble()
  0.00   1320.11     0.01                             power(double, int)
  0.00   1320.11     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   1320.11     0.00        1     0.00     0.00  _GLOBAL__sub_I_pos_colloid
  0.00   1320.11     0.00        1     0.00     0.00  initialize()
  0.00   1320.11     0.00        1     0.00     0.00  initialize_colloid()
