3480.031450
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.48    952.45   952.45   210001     4.54     4.54  neighbour_list_mpcd()
 24.78   1702.29   749.83    21000    35.71    35.71  rotation_mpcd()
 21.42   2350.34   648.06   210000     3.09     3.09  update_pos_mpcd()
 20.79   2979.53   629.19   210000     3.00     3.00  fluid_colloid_collision()
  1.04   3011.07    31.54    21000     1.50     1.50  run()
  0.40   3023.12    12.05    11000     1.10     1.10  updown_velocity()
  0.08   3025.68     2.56                             main
  0.01   3025.85     0.17        1   170.04   170.04  create_box()
  0.01   3026.02     0.17   210001     0.00     0.00  neighbour_list_md()
  0.00   3026.17     0.15   210001     0.00     0.00  compute_force_md()
  0.00   3026.31     0.14   210000     0.00     0.00  update_activity_direction()
  0.00   3026.41     0.10        1   100.02   100.02  initialize_fluid()
  0.00   3026.44     0.03   210000     0.00     0.00  update_pos_md()
  0.00   3026.46     0.02        1    20.00    20.00  _GLOBAL__sub_I_pos_colloid
  0.00   3026.46     0.01   210000     0.00     0.00  update_velocity_colloid()
  0.00   3026.46     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   3026.46     0.00        1     0.00     0.00  initialize()
  0.00   3026.46     0.00        1     0.00     0.00  initialize_colloid()
  0.00   3026.46     0.00        1     0.00     0.00  tumble()
