3534.271836
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.84    948.86   948.86   210001     4.52     4.52  neighbour_list_mpcd()
 26.54   1765.53   816.67    21000    38.89    38.89  rotation_mpcd()
 21.89   2439.21   673.68   210000     3.21     3.21  update_pos_mpcd()
 19.62   3043.03   603.82   210000     2.88     2.88  fluid_colloid_collision()
  0.71   3064.75    21.72    21000     1.03     1.03  run()
  0.31   3074.23     9.48    11000     0.86     0.86  updown_velocity()
  0.09   3077.10     2.87                             main
  0.01   3077.30     0.20        1   200.05   200.05  create_box()
  0.00   3077.42     0.12   210001     0.00     0.00  neighbour_list_md()
  0.00   3077.54     0.12   210001     0.00     0.00  compute_force_md()
  0.00   3077.64     0.10        1   100.02   100.02  initialize_fluid()
  0.00   3077.71     0.08   210000     0.00     0.00  update_activity_direction()
  0.00   3077.75     0.04   210000     0.00     0.00  update_velocity_colloid()
  0.00   3077.77     0.03   210000     0.00     0.00  update_pos_md()
  0.00   3077.78     0.01        1    10.00    10.00  _GLOBAL__sub_I_mag_f
  0.00   3077.79     0.01        1    10.00    10.00  _GLOBAL__sub_I_pos_colloid
  0.00   3077.80     0.01        1    10.00    10.00  tumble()
  0.00   3077.81     0.01                             power(double, int)
  0.00   3077.81     0.00        1     0.00     0.00  initialize()
  0.00   3077.81     0.00        1     0.00     0.00  initialize_colloid()
