2111.607208
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 28.84    527.45   527.45   210001     2.51     2.51  neighbour_list_mpcd()
 27.02   1021.59   494.13    21000    23.53    23.53  rotation_mpcd()
 21.29   1411.00   389.41   210000     1.85     1.85  fluid_colloid_collision()
 20.91   1793.49   382.49   210000     1.82     1.82  update_pos_mpcd()
  1.30   1817.35    23.87    21000     1.14     1.14  run()
  0.51   1826.74     9.38    11000     0.85     0.85  updown_velocity()
  0.09   1828.41     1.67                             main
  0.01   1828.62     0.21   210001     0.00     0.00  compute_force_md()
  0.01   1828.81     0.19        1   190.04   190.04  create_box()
  0.01   1828.99     0.18   210001     0.00     0.00  neighbour_list_md()
  0.01   1829.13     0.14   210000     0.00     0.00  update_activity_direction()
  0.00   1829.22     0.09   210000     0.00     0.00  update_velocity_colloid()
  0.00   1829.29     0.07        1    70.02    70.02  initialize_fluid()
  0.00   1829.32     0.03   210000     0.00     0.00  update_pos_md()
  0.00   1829.34     0.02        1    20.00    20.00  _GLOBAL__sub_I_pos_colloid
  0.00   1829.36     0.02                             power(double, int)
  0.00   1829.36     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   1829.36     0.00        1     0.00     0.00  initialize()
  0.00   1829.36     0.00        1     0.00     0.00  initialize_colloid()
  0.00   1829.36     0.00        1     0.00     0.00  tumble()
