6624.205566
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.58   1706.47  1706.47   210001     8.13     8.13  neighbour_list_mpcd()
 23.39   3055.54  1349.07   210000     6.42     6.42  fluid_colloid_collision()
 22.75   4367.64  1312.10   210000     6.25     6.25  update_pos_mpcd()
 22.40   5659.65  1292.01    21000    61.52    61.52  rotation_mpcd()
  1.15   5726.06    66.41    21000     3.16     3.16  run()
  0.65   5763.54    37.47    11000     3.41     3.41  updown_velocity()
  0.09   5768.81     5.27                             main
  0.00   5769.05     0.25   210001     0.00     0.00  compute_force_md()
  0.00   5769.24     0.19        1   190.04   190.04  create_box()
  0.00   5769.42     0.18   210001     0.00     0.00  neighbour_list_md()
  0.00   5769.59     0.17        1   170.04   170.04  initialize_fluid()
  0.00   5769.63     0.04   210000     0.00     0.00  update_velocity_colloid()
  0.00   5769.66     0.03   210000     0.00     0.00  update_activity_direction()
  0.00   5769.68     0.02   210000     0.00     0.00  update_pos_md()
  0.00   5769.69     0.02                             power(double, int)
  0.00   5769.70     0.01        1    10.00    10.00  _GLOBAL__sub_I_pos_colloid
  0.00   5769.70     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   5769.70     0.00        1     0.00     0.00  initialize()
  0.00   5769.70     0.00        1     0.00     0.00  initialize_colloid()
  0.00   5769.70     0.00        1     0.00     0.00  tumble()

