1534.754766
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.03    370.94   370.94   210001     1.77     1.77  neighbour_list_mpcd()
 24.63    685.69   314.75   210000     1.50     1.50  update_pos_mpcd()
 24.07    993.25   307.56    21000    14.65    14.65  rotation_mpcd()
 19.53   1242.75   249.50   210000     1.19     1.19  fluid_colloid_collision()
  2.15   1270.21    27.46    21000     1.31     1.31  run()
  0.47   1276.24     6.03    11000     0.55     0.55  updown_velocity()
  0.09   1277.38     1.14                             main
  0.02   1277.58     0.20   210001     0.00     0.00  neighbour_list_md()
  0.01   1277.74     0.16        1   160.04   160.04  create_box()
  0.01   1277.88     0.15   210001     0.00     0.00  compute_force_md()
  0.01   1277.97     0.09   210000     0.00     0.00  update_activity_direction()
  0.01   1278.06     0.09        1    90.02    90.02  initialize_fluid()
  0.00   1278.08     0.02                             power(double, int)
  0.00   1278.09     0.01   210000     0.00     0.00  update_velocity_colloid()
  0.00   1278.09     0.00   210000     0.00     0.00  update_pos_md()
  0.00   1278.09     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   1278.09     0.00        1     0.00     0.00  _GLOBAL__sub_I_pos_colloid
  0.00   1278.09     0.00        1     0.00     0.00  initialize()
  0.00   1278.09     0.00        1     0.00     0.00  initialize_colloid()
  0.00   1278.09     0.00        1     0.00     0.00  tumble()
