3646.381109
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.52    973.25   973.25   210001     4.63     4.63  neighbour_list_mpcd()
 23.90   1735.51   762.27    21000    36.30    36.30  rotation_mpcd()
 23.26   2477.38   741.86   210000     3.53     3.53  fluid_colloid_collision()
 20.40   3127.83   650.46   210000     3.10     3.10  update_pos_mpcd()
  1.29   3169.11    41.28    21000     1.97     1.97  run()
  0.55   3186.64    17.52    11000     1.59     1.59  updown_velocity()
  0.08   3189.04     2.40                             main
  0.01   3189.33     0.30   210001     0.00     0.00  compute_force_md()
  0.01   3189.52     0.19        1   190.04   190.04  create_box()
  0.00   3189.67     0.15   210001     0.00     0.00  neighbour_list_md()
  0.00   3189.77     0.10        1   100.02   100.02  initialize_fluid()
  0.00   3189.85     0.08   210000     0.00     0.00  update_activity_direction()
  0.00   3189.91     0.06   210000     0.00     0.00  update_pos_md()
  0.00   3189.95     0.04   210000     0.00     0.00  update_velocity_colloid()
  0.00   3189.97     0.03                             power(double, int)
  0.00   3189.97     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   3189.97     0.00        1     0.00     0.00  _GLOBAL__sub_I_pos_colloid
  0.00   3189.97     0.00        1     0.00     0.00  initialize()
  0.00   3189.97     0.00        1     0.00     0.00  initialize_colloid()
  0.00   3189.97     0.00        1     0.00     0.00  tumble()
