3972.405320
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.00   1012.91  1012.91   210000     4.82     4.82  fluid_colloid_collision()
 28.32   2002.15   989.24   210001     4.71     4.71  neighbour_list_mpcd()
 21.18   2742.22   740.07    21000    35.24    35.24  rotation_mpcd()
 18.35   3383.41   641.19   210000     3.05     3.05  update_pos_mpcd()
  2.21   3460.63    77.22    21000     3.68     3.68  run()
  0.86   3490.50    29.87    11000     2.72     2.72  updown_velocity()
  0.07   3493.07     2.57                             main
  0.01   3493.48     0.41   210001     0.00     0.00  compute_force_md()
  0.01   3493.72     0.24   210001     0.00     0.00  neighbour_list_md()
  0.00   3493.89     0.17        1   170.04   170.04  initialize_fluid()
  0.00   3494.05     0.16        1   160.04   160.04  create_box()
  0.00   3494.11     0.06   210000     0.00     0.00  update_activity_direction()
  0.00   3494.14     0.03   210000     0.00     0.00  update_pos_md()
  0.00   3494.17     0.03   210000     0.00     0.00  update_velocity_colloid()
  0.00   3494.18     0.01        1    10.00    10.00  _GLOBAL__sub_I_pos_colloid
  0.00   3494.19     0.01        1    10.00    10.00  tumble()
  0.00   3494.19     0.01                             power(double, int)
  0.00   3494.19     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   3494.19     0.00        1     0.00     0.00  initialize()
  0.00   3494.19     0.00        1     0.00     0.00  initialize_colloid()
