1555.505158
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.61    382.76   382.76   210001     1.82     1.82  neighbour_list_mpcd()
 23.78    690.17   307.41   210000     1.46     1.46  update_pos_mpcd()
 23.36    992.05   301.88    21000    14.38    14.38  rotation_mpcd()
 20.20   1253.16   261.11   210000     1.24     1.24  fluid_colloid_collision()
  2.31   1282.97    29.81    21000     1.42     1.42  run()
  0.55   1290.13     7.16    11000     0.65     0.65  updown_velocity()
  0.11   1291.54     1.41                             main
  0.04   1292.03     0.49   210001     0.00     0.00  compute_force_md()
  0.02   1292.33     0.30   210001     0.00     0.00  neighbour_list_md()
  0.01   1292.52     0.19        1   190.04   190.04  create_box()
  0.01   1292.61     0.09        1    90.02    90.02  initialize_fluid()
  0.01   1292.69     0.08   210000     0.00     0.00  update_activity_direction()
  0.00   1292.74     0.05   210000     0.00     0.00  update_pos_md()
  0.00   1292.78     0.04   210000     0.00     0.00  update_velocity_colloid()
  0.00   1292.79     0.01        1    10.00    10.00  _GLOBAL__sub_I_pos_colloid
  0.00   1292.79     0.01                             power(double, int)
  0.00   1292.79     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   1292.79     0.00        1     0.00     0.00  initialize()
  0.00   1292.79     0.00        1     0.00     0.00  initialize_colloid()
  0.00   1292.79     0.00        1     0.00     0.00  tumble()
