4291.910634
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.99   1214.65  1214.65   210000     5.78     5.78  fluid_colloid_collision()
 27.48   2258.23  1043.57   210001     4.97     4.97  neighbour_list_mpcd()
 19.98   3017.10   758.88    21000    36.14    36.14  rotation_mpcd()
 16.86   3657.51   640.40   210000     3.05     3.05  update_pos_mpcd()
  2.51   3752.65    95.14    21000     4.53     4.53  run()
  1.09   3794.14    41.49    11000     3.77     3.77  updown_velocity()
  0.07   3796.76     2.62                             main
  0.01   3797.25     0.50   210001     0.00     0.00  compute_force_md()
  0.01   3797.63     0.38   210001     0.00     0.00  neighbour_list_md()
  0.01   3797.83     0.20        1   200.05   200.05  create_box()
  0.01   3798.02     0.19        1   190.04   190.04  initialize_fluid()
  0.00   3798.15     0.13   210000     0.00     0.00  update_activity_direction()
  0.00   3798.22     0.07   210000     0.00     0.00  update_pos_md()
  0.00   3798.25     0.03        1    30.01    30.01  _GLOBAL__sub_I_pos_colloid
  0.00   3798.28     0.03   210000     0.00     0.00  update_velocity_colloid()
  0.00   3798.29     0.02                             power(double, int)
  0.00   3798.30     0.01        1    10.00    10.00  tumble()
  0.00   3798.30     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   3798.30     0.00        1     0.00     0.00  initialize()
  0.00   3798.30     0.00        1     0.00     0.00  initialize_colloid()
