2010.080777
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 27.15    466.30   466.30   210001     2.22     2.22  neighbour_list_mpcd()
 25.72    907.96   441.66   210000     2.10     2.10  fluid_colloid_collision()
 22.79   1299.28   391.32    21000    18.63    18.63  rotation_mpcd()
 21.23   1663.84   364.55   210000     1.74     1.74  update_pos_mpcd()
  2.16   1700.94    37.10    21000     1.77     1.77  run()
  0.82   1714.96    14.02    11000     1.27     1.27  updown_velocity()
  0.09   1716.43     1.47                             main
  0.02   1716.83     0.40   210001     0.00     0.00  compute_force_md()
  0.02   1717.20     0.37   210001     0.00     0.00  neighbour_list_md()
  0.01   1717.38     0.18        1   180.04   180.04  create_box()
  0.01   1717.47     0.09        1    90.02    90.02  initialize_fluid()
  0.00   1717.55     0.08   210000     0.00     0.00  update_activity_direction()
  0.00   1717.59     0.04   210000     0.00     0.00  update_velocity_colloid()
  0.00   1717.61     0.02   210000     0.00     0.00  update_pos_md()
  0.00   1717.62     0.01        1    10.00    10.00  _GLOBAL__sub_I_mag_f
  0.00   1717.63     0.01        1    10.00    10.00  _GLOBAL__sub_I_pos_colloid
  0.00   1717.64     0.01                             power(double, int)
  0.00   1717.64     0.00        1     0.00     0.00  initialize()
  0.00   1717.64     0.00        1     0.00     0.00  initialize_colloid()
  0.00   1717.64     0.00        1     0.00     0.00  tumble()

