7185.180748
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.73   1732.44  1732.44   210001     8.25     8.25  neighbour_list_mpcd()
 23.41   3052.04  1319.59   210000     6.28     6.28  update_pos_mpcd()
 22.03   4293.74  1241.71    21000    59.13    59.13  rotation_mpcd()
 20.60   5454.83  1161.09   210000     5.53     5.53  fluid_colloid_collision()
  2.02   5568.70   113.87    21000     5.42     5.42  run()
  1.12   5632.07    63.36    11000     5.76     5.76  updown_velocity()
  0.09   5637.09     5.02                             main
  0.01   5637.44     0.35   210001     0.00     0.00  compute_force_md()
  0.00   5637.71     0.27        1   270.06   270.06  initialize_fluid()
  0.00   5637.95     0.24   210001     0.00     0.00  neighbour_list_md()
  0.00   5638.13     0.18        1   180.04   180.04  create_box()
  0.00   5638.18     0.05   210000     0.00     0.00  update_pos_md()
  0.00   5638.23     0.05   210000     0.00     0.00  update_activity_direction()
  0.00   5638.26     0.03        1    30.01    30.01  _GLOBAL__sub_I_pos_colloid
  0.00   5638.28     0.02                             power(double, int)
  0.00   5638.29     0.02   210000     0.00     0.00  update_velocity_colloid()
  0.00   5638.30     0.01        1    10.00    10.00  _GLOBAL__sub_I_mag_f
  0.00   5638.30     0.00        1     0.00     0.00  initialize()
  0.00   5638.30     0.00        1     0.00     0.00  initialize_colloid()
  0.00   5638.30     0.00        1     0.00     0.00  tumble()
