3884.693619
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 28.86    984.03   984.03   210001     4.69     4.69  neighbour_list_mpcd()
 27.85   1933.44   949.41   210000     4.52     4.52  fluid_colloid_collision()
 21.42   2663.87   730.43    21000    34.78    34.78  rotation_mpcd()
 19.06   3313.61   649.73   210000     3.09     3.09  update_pos_mpcd()
  1.97   3380.62    67.02    21000     3.19     3.19  run()
  0.75   3406.17    25.55    11000     2.32     2.32  updown_velocity()
  0.08   3408.87     2.70                             main
  0.01   3409.30     0.44   210001     0.00     0.00  compute_force_md()
  0.01   3409.56     0.26   210001     0.00     0.00  neighbour_list_md()
  0.01   3409.76     0.20        1   200.05   200.05  create_box()
  0.00   3409.90     0.14        1   140.03   140.03  initialize_fluid()
  0.00   3409.99     0.09   210000     0.00     0.00  update_activity_direction()
  0.00   3410.04     0.05   210000     0.00     0.00  update_velocity_colloid()
  0.00   3410.07     0.03   210000     0.00     0.00  update_pos_md()
  0.00   3410.10     0.03                             power(double, int)
  0.00   3410.12     0.02        1    20.00    20.00  _GLOBAL__sub_I_pos_colloid
  0.00   3410.13     0.02        1    15.00    15.00  tumble()
  0.00   3410.13     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   3410.13     0.00        1     0.00     0.00  initialize()
  0.00   3410.13     0.00        1     0.00     0.00  initialize_colloid()
