3435.597109
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.55    878.48   878.48   210001     4.18     4.18  neighbour_list_mpcd()
 24.94   1620.02   741.53   210000     3.53     3.53  fluid_colloid_collision()
 22.23   2280.92   660.90    21000    31.47    31.47  rotation_mpcd()
 20.89   2902.00   621.07   210000     2.96     2.96  update_pos_mpcd()
  1.83   2956.32    54.32    21000     2.59     2.59  run()
  0.47   2970.27    13.95    11000     1.27     1.27  updown_velocity()
  0.09   2972.80     2.53                             main
  0.01   2973.05     0.25   210001     0.00     0.00  compute_force_md()
  0.01   2973.25     0.20        1   200.05   200.05  create_box()
  0.01   2973.44     0.19   210001     0.00     0.00  neighbour_list_md()
  0.01   2973.61     0.18   210000     0.00     0.00  update_activity_direction()
  0.00   2973.75     0.14        1   140.03   140.03  initialize_fluid()
  0.00   2973.81     0.06   210000     0.00     0.00  update_pos_md()
  0.00   2973.83     0.02   210000     0.00     0.00  update_velocity_colloid()
  0.00   2973.84     0.01        1    10.00    10.00  _GLOBAL__sub_I_pos_colloid
  0.00   2973.84     0.01                             power(double, int)
  0.00   2973.84     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   2973.84     0.00        1     0.00     0.00  initialize()
  0.00   2973.84     0.00        1     0.00     0.00  initialize_colloid()
  0.00   2973.84     0.00        1     0.00     0.00  tumble()
