5990.845903
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.40   1626.08  1626.08   210001     7.74     7.74  neighbour_list_mpcd()
 24.09   2873.88  1247.81   210000     5.94     5.94  update_pos_mpcd()
 23.85   4109.32  1235.44    21000    58.83    58.83  rotation_mpcd()
 19.58   5123.36  1014.04   210000     4.83     4.83  fluid_colloid_collision()
  0.65   5156.95    33.59    21000     1.60     1.60  run()
  0.34   5174.72    17.77    11000     1.62     1.62  updown_velocity()
  0.10   5179.71     4.99                             main
  0.00   5179.90     0.19        1   190.04   190.04  create_box()
  0.00   5180.07     0.17        1   170.04   170.04  initialize_fluid()
  0.00   5180.21     0.14   210001     0.00     0.00  neighbour_list_md()
  0.00   5180.31     0.10   210001     0.00     0.00  compute_force_md()
  0.00   5180.36     0.05   210000     0.00     0.00  update_activity_direction()
  0.00   5180.38     0.03   210000     0.00     0.00  update_pos_md()
  0.00   5180.41     0.03   210000     0.00     0.00  update_velocity_colloid()
  0.00   5180.41     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   5180.41     0.00        1     0.00     0.00  _GLOBAL__sub_I_pos_colloid
  0.00   5180.41     0.00        1     0.00     0.00  initialize()
  0.00   5180.41     0.00        1     0.00     0.00  initialize_colloid()
  0.00   5180.41     0.00        1     0.00     0.00  tumble()

