6177.891635
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.35   1622.05  1622.05   210001     7.72     7.72  neighbour_list_mpcd()
 24.05   2906.92  1284.87   210000     6.12     6.12  update_pos_mpcd()
 22.77   4123.84  1216.92    21000    57.95    57.95  rotation_mpcd()
 21.31   5262.49  1138.64   210000     5.42     5.42  fluid_colloid_collision()
  0.92   5311.76    49.27    21000     2.35     2.35  run()
  0.51   5338.89    27.13    11000     2.47     2.47  updown_velocity()
  0.10   5344.07     5.18                             main
  0.00   5344.29     0.22        1   220.05   220.05  initialize_fluid()
  0.00   5344.46     0.17        1   170.04   170.04  create_box()
  0.00   5344.61     0.16   210001     0.00     0.00  compute_force_md()
  0.00   5344.71     0.10   210000     0.00     0.00  update_activity_direction()
  0.00   5344.79     0.08   210001     0.00     0.00  neighbour_list_md()
  0.00   5344.83     0.04   210000     0.00     0.00  update_velocity_colloid()
  0.00   5344.84     0.02                             power(double, int)
  0.00   5344.84     0.00   210000     0.00     0.00  update_pos_md()
  0.00   5344.84     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   5344.84     0.00        1     0.00     0.00  _GLOBAL__sub_I_pos_colloid
  0.00   5344.84     0.00        1     0.00     0.00  initialize()
  0.00   5344.84     0.00        1     0.00     0.00  initialize_colloid()
  0.00   5344.84     0.00        1     0.00     0.00  tumble()
