8619.338514
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.59   1950.16  1950.16   210001     9.29     9.29  neighbour_list_mpcd()
 23.13   3424.63  1474.46   210000     7.02     7.02  fluid_colloid_collision()
 21.30   4782.24  1357.62    21000    64.65    64.65  rotation_mpcd()
 20.28   6075.24  1293.00   210000     6.16     6.16  update_pos_mpcd()
  2.97   6264.76   189.52    21000     9.02     9.02  run()
  1.66   6370.39   105.62    11000     9.60     9.60  updown_velocity()
  0.07   6374.96     4.57                             main
  0.01   6375.49     0.54   210001     0.00     0.00  compute_force_md()
  0.01   6375.94     0.45   210001     0.00     0.00  neighbour_list_md()
  0.01   6376.30     0.36        1   360.08   360.08  initialize_fluid()
  0.00   6376.50     0.20        1   200.05   200.05  create_box()
  0.00   6376.54     0.04   210000     0.00     0.00  update_activity_direction()
  0.00   6376.57     0.03   210000     0.00     0.00  update_pos_md()
  0.00   6376.60     0.03   210000     0.00     0.00  update_velocity_colloid()
  0.00   6376.61     0.02                             power(double, int)
  0.00   6376.61     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   6376.61     0.00        1     0.00     0.00  _GLOBAL__sub_I_pos_colloid
  0.00   6376.61     0.00        1     0.00     0.00  initialize()
  0.00   6376.61     0.00        1     0.00     0.00  initialize_colloid()
  0.00   6376.61     0.00        1     0.00     0.00  tumble()
